,0,1
0,821,682
1,808,668
2,767,621
3,716,568
4,660,510
5,604,456
6,557,409
7,509,361
8,461,311
9,418,263
10,369,208
11,323,158
12,283,119
13,247,86
14,216,59
15,193,41
16,185,34
17,181,32
18,180,31
19,179,30
20,177,27
21,176,27
22,173,24
23,173,24
24,173,24
25,174,24
26,177,24
27,180,24
28,183,24
29,186,24
30,190,25
31,192,27
32,194,28
33,194,28
34,196,29
35,197,29
36,198,30
37,202,31
38,206,33
39,210,36
40,215,38
41,220,40
42,222,42
43,222,43
44,223,43
45,224,43
46,224,44
47,224,45
48,225,47
49,226,49
50,226,49
51,226,50
52,226,52
53,226,52
54,227,54
55,227,57
56,227,58
57,227,60
58,227,61
59,227,62
60,227,63
61,227,64
62,227,66
63,227,67
64,227,67
65,227,68
66,227,69
67,227,69
68,226,71
69,225,72
70,224,75
71,223,76
72,222,78
73,222,79
74,221,80
75,221,81
76,221,81
77,219,82
78,219,84
79,218,86
80,217,87
81,217,90
82,217,90
83,216,91
84,216,91
85,215,92
86,215,92
87,214,97
88,213,99
89,211,105
90,210,111
91,210,122
92,209,130
93,208,137
94,208,142
95,208,148
96,208,157
97,208,169
98,208,181
99,208,189
100,208,199
101,208,211
102,207,225
103,206,234
104,205,245
105,204,252
106,204,261
107,204,266
108,203,271
109,203,274
110,203,277
111,203,281
112,203,283
113,203,286
114,203,287
115,203,288
116,203,290
117,203,292
118,203,292
119,203,293
120,203,294
121,203,294
122,203,296
123,203,298
124,203,300
125,203,302
126,203,306
127,203,308
128,203,309
129,203,311
130,203,312
131,203,312
132,203,313
133,203,314
134,203,314
135,203,315
136,203,317
137,203,317
138,203,318
139,203,319
140,203,322
141,203,324
142,203,324
143,203,325
144,203,326
145,203,328
146,203,330
147,203,333
148,203,335
149,203,338
150,203,341
151,203,342
152,205,343
153,205,343
154,206,343
155,206,343
156,208,343
157,208,343
158,209,343
159,209,342
160,210,341
161,210,341
162,211,341
163,212,341
164,212,340
165,213,339
166,213,339
167,215,339
168,216,338
169,216,338
170,218,336
171,219,334
172,220,334
173,222,332
174,222,332
175,224,330
176,226,329
177,228,327
178,229,327
179,232,325
180,233,324
181,236,321
182,242,318
183,246,314
184,246,314
185,251,312
186,257,309
187,263,305
188,272,300
189,282,294
190,290,289
191,294,286
192,297,284
193,298,283
194,298,283
195,299,282
196,300,282
197,301,281
198,301,281
199,302,281
200,303,281
201,304,280
202,306,280
203,306,280
204,308,280
205,311,280
206,315,278
207,320,278
208,324,277
209,331,276
210,337,276
211,347,276
212,359,276
213,365,276
214,379,276
215,393,276
216,409,276
217,426,276
218,442,276
219,462,276
220,476,276
221,488,276
222,499,276
223,507,276
224,515,276
225,519,276
226,523,275
227,531,274
228,537,273
229,546,273
230,558,272
231,568,272
232,581,270
233,598,267
234,616,265
235,634,262
236,646,261
237,659,259
238,671,259
239,683,258
240,697,256
241,711,254
242,726,254
243,738,253
244,750,253
245,755,252
246,758,252
247,761,250
248,761,250
249,764,249
250,764,248
251,766,248
252,768,247
253,771,244
254,773,242
255,776,241
256,777,239
257,780,236
258,781,235
259,782,234
260,786,231
261,789,229
262,794,225
263,797,221
264,799,219
265,805,215
266,806,213
267,807,212
268,808,212
269,808,210
270,808,210
271,808,209
272,808,208
273,808,208
274,809,207
275,809,206
276,810,205
277,810,205
278,812,204
279,813,202
280,816,200
281,818,199
282,819,197
